backend,device,n_frames,context_ms_mean_ms,context_ms_median_ms,context_ms_p95_ms,transfer_in_ms_mean_ms,transfer_in_ms_median_ms,transfer_in_ms_p95_ms,kernel_ms_mean_ms,kernel_ms_median_ms,kernel_ms_p95_ms,transfer_out_ms_mean_ms,transfer_out_ms_median_ms,transfer_out_ms_p95_ms,postprocess_ms_mean_ms,postprocess_ms_median_ms,postprocess_ms_p95_ms,complete_core_ms_mean_ms,complete_core_ms_median_ms,complete_core_ms_p95_ms,speedup_vs_pde_mean
Prospective PDE,cpu,56,0.0,0.0,0.0,0.0,0.0,0.0,2.637158931715281,2.3243000032380223,3.8422000216087326,0.0,0.0,0.0,0.0,0.0,0.0,2.637158931715281,2.3243000032380223,3.8422000216087326,1.0
Context PINN,cpu,56,0.9307500014464105,0.7689500052947551,1.847750012530014,0.02121071468406756,0.013699987903237343,0.03495003329589963,2.0917714303193082,1.7848499992396683,3.5530250024748966,0.020585715122121786,0.016950012650340796,0.029499991796910763,0.017596435749770274,0.01645000884309411,0.025425018975511193,3.0842464319513447,2.6642500306479633,5.662300027324818,0.8550415765729847
Context PINN,cuda,56,0.7655625013285317,0.668349995976314,1.3991000305395573,0.11299106803822465,0.0900000159163028,0.18145001376979053,1.0641892908357218,0.8788499981164932,1.8071999948006123,0.0773910672121149,0.07369997911155224,0.11085000005550683,0.01650892850843125,0.014750025002285838,0.027499976567924023,2.038769646398058,1.7640000151004642,3.340800045407377,1.2935050982215726
