backend,device,n_steps,n_offroad,coefficient_ms_mean,coefficient_ms_median,coefficient_ms_p95,context_ms_mean,context_ms_median,context_ms_p95,transfer_in_ms_mean,transfer_in_ms_median,transfer_in_ms_p95,kernel_ms_mean,kernel_ms_median,kernel_ms_p95,transfer_out_ms_mean,transfer_out_ms_median,transfer_out_ms_p95,postprocess_ms_mean,postprocess_ms_median,postprocess_ms_p95,inference_ms_mean,inference_ms_median,inference_ms_p95,total_ms_mean,total_ms_median,total_ms_p95,environment_step_ms_mean,environment_step_ms_median,environment_step_ms_p95,field_speedup_vs_pde
prospective,cpu,38,0,0.4734499946751289,0.3941499744541943,0.9936049871612339,1.8374184223112504,1.6577999922446907,2.6108949939953154,0.0,0.0,0.0,2.754192106964949,2.351450006244704,5.009300002711823,0.0,0.0,0.0,0.14061315787809067,0.11655001435428858,0.18379499961156368,2.754192106964949,2.351450006244704,5.009300002711823,5.2080868427813245,4.642450017854571,8.352865019696765,18.81513684700047,17.91229998343624,23.979970000800677,1.0
pinn,cpu,38,0,0.4243973709986006,0.3947500081267208,0.54219500743784,2.7206710564266694,2.611800009617582,3.7988049967680126,0.03780789465006245,0.03330002073198557,0.04979502991773188,2.54804473737941,2.073400013614446,4.060815009870566,0.05969473185311807,0.05570001667365432,0.0807999662356451,0.1910500026209966,0.16240001423284411,0.32818498730193824,2.6455473638825904,2.191849984228611,4.1417849861318246,5.982900001598816,5.679249996319413,8.268309978302568,18.75627368970431,18.26135002193041,21.555010019801557,0.8704953854133551
pinn,cuda,38,0,0.4860236796574961,0.41844998486340046,0.9065500315045937,2.9643763187586476,2.7211999986320734,3.973044993472284,0.27384736274957266,0.2560499997343868,0.3487549896817653,1.6903079016820381,1.429149997420609,2.404214983107522,0.19059474365540632,0.18210004782304168,0.2758750022621824,0.1913710546336676,0.16965001123026013,0.3101050300756469,2.154750008087017,1.9418000301811844,3.030079999007284,5.797902630691073,5.558049975661561,7.601494996924885,20.20485526085586,19.29470000322908,26.54216498194728,0.898270835942023
