model,metric,mean,ci_low,ci_high,n_recordings
Context PINN,auroc,0.8656686181396998,0.845299069446875,0.8893932988344403,6
Context PINN,auprc,0.5142799276491027,0.48000246697229404,0.5584551556033233,6
Instantaneous source,auroc,0.8248595168882694,0.806575894506821,0.8433344335046632,6
Instantaneous source,auprc,0.4167018553212898,0.37268316221828224,0.48030872266316355,6
Prospective numerical field,auroc,0.9096322299926305,0.8969380315681396,0.9237733585143815,6
Prospective numerical field,auprc,0.5835838701264401,0.5332134099155567,0.6434224304884133,6
